run_id,start_time,end_time,status,source,records_read,records_written,duplicates_removed,watermark_before,watermark_after,error_message
2e103616,2026-09-12T14:35:59.930849+00:00,2026-09-12T14:35:59.940719+00:00,SUCCESS,files,3,3,0,,,
f7128efa,2026-09-12T14:35:59.941538+00:00,2026-09-12T14:36:00.065629+00:00,SUCCESS,rest_api,122,120,2,,2026-08-21T10:00:00,
14639723,2026-09-12T14:37:17.207815+00:00,2026-09-12T14:37:17.212637+00:00,SUCCESS,files,3,0,0,,,
384b48a2,2026-09-12T14:37:17.213153+00:00,2026-09-12T14:37:17.233498+00:00,SUCCESS,rest_api,0,0,0,2026-08-21T10:00:00,2026-08-21T10:00:00,
35da0fbf,2026-09-12T14:38:08.746361+00:00,2026-09-12T14:38:08.749546+00:00,SUCCESS,files,3,0,0,,,
e33f277f,2026-09-12T14:38:08.749935+00:00,2026-09-12T14:38:08.776652+00:00,SUCCESS,rest_api,0,0,0,2026-08-21T10:00:00,2026-08-21T10:00:00,
f0805728,2026-09-12T14:38:28.779506+00:00,2026-09-12T14:38:28.784709+00:00,SUCCESS,files,3,0,0,,,
50ccbf9a,2026-09-12T14:38:28.785105+00:00,2026-09-12T14:38:28.810916+00:00,SUCCESS,rest_api,0,0,0,2026-08-21T10:00:00,2026-08-21T10:00:00,
cfe14396,2026-09-12T14:39:07.732734+00:00,2026-09-12T14:39:07.739655+00:00,SUCCESS,files,3,0,0,,,
4ea29ac3,2026-09-12T14:39:07.740142+00:00,2026-09-12T14:39:09.794756+00:00,FAILED,rest_api,0,0,0,2026-08-21T10:00:00,2026-08-21T10:00:00,"HTTPConnectionPool(host='127.0.0.1', port=8000): Max retries exceeded with url: /api/events?page=1&per_page=20&updated_after=2026-08-21T10%3A00%3A00 (Caused by NewConnectionError(""HTTPConnection(host='127.0.0.1', port=8000): Failed to establish a new connection: [WinError 10061] No connection could be made because the target machine actively refused it""))"
f6508bfd,2026-09-12T14:40:12.640829+00:00,2026-09-12T14:40:12.644041+00:00,SUCCESS,files,3,0,0,,,
7b940e7c,2026-09-12T14:40:12.644573+00:00,2026-09-12T14:40:12.666225+00:00,SUCCESS,rest_api,0,0,0,2026-08-21T10:00:00,2026-08-21T10:00:00,
